,remito,tipo
0,1010,fisuracion
1,1041,demoras
2,1067,demoras
3,1073,asentamiento
4,1078,fisuracion
5,1106,demoras
6,1125,fisuracion
7,1162,asentamiento
8,1210,fisuracion
9,1225,resistencia
10,1227,volumen
11,1234,fisuracion
12,1268,volumen
13,1282,fisuracion
14,1287,asentamiento
15,1317,asentamiento
16,1325,fisuracion
17,1332,volumen
18,1378,asentamiento
19,1392,demoras
20,1412,fisuracion
21,1413,fragüe
22,1414,asentamiento
23,1425,fisuracion
24,1433,demoras
25,1444,fisuracion
26,1457,asentamiento
27,1472,asentamiento
28,1500,fisuracion
29,1521,fisuracion
30,1579,asentamiento
31,1635,resistencia
32,1636,fisuracion
33,1640,asentamiento
34,1654,fisuracion
35,1677,asentamiento
36,1740,formula
37,1747,asentamiento
38,1757,resistencia
39,1790,fragüe
40,1802,volumen
41,1809,asentamiento
42,1844,demoras
43,1846,volumen
44,1864,asentamiento
45,1905,volumen
46,1922,fisuracion
47,1951,asentamiento
48,1952,asentamiento
49,1993,volumen
50,2002,demoras
51,2008,asentamiento
52,2014,asentamiento
53,2076,demoras
54,2102,demoras
55,2126,asentamiento
56,2129,asentamiento
57,2143,asentamiento
58,2199,asentamiento
59,2252,asentamiento
60,2253,fisuracion
61,2258,demoras
62,2261,asentamiento
63,2274,asentamiento
64,2279,asentamiento
65,2320,demoras
66,2379,resistencia
67,2393,demoras
68,2417,demoras
69,2442,demoras
70,2449,fisuracion
71,2451,demoras
72,2461,resistencia
73,2508,fisuracion
74,2516,fisuracion
75,2528,demoras
76,2552,fisuracion
77,2595,asentamiento
78,2613,fisuracion
79,2624,fisuracion
80,2637,asentamiento
81,2642,resistencia
82,2658,asentamiento
83,2738,fisuracion
84,2754,fisuracion
85,2761,asentamiento
86,2786,fisuracion
87,2789,resistencia
88,2827,fragüe
89,2845,fragüe
90,2848,volumen
91,2853,asentamiento
92,2861,fisuracion
93,2873,asentamiento
94,2877,fisuracion
95,2901,formula
96,2904,volumen
97,2929,asentamiento
98,2932,fisuracion
99,2947,fisuracion
100,3002,fisuracion
101,3056,asentamiento
102,3057,fragüe
103,3060,demoras
104,3104,resistencia
105,3114,fisuracion
106,3138,demoras
107,3189,fisuracion
108,3217,fisuracion
109,3273,fisuracion
110,3278,fisuracion
111,3281,fisuracion
112,3288,asentamiento
113,3289,fisuracion
114,3308,demoras
115,3324,resistencia
116,3355,fisuracion
117,3388,asentamiento
118,3396,asentamiento
119,3400,fisuracion
120,3411,asentamiento
121,3416,fragüe
122,3435,resistencia
123,3449,fisuracion
124,3487,volumen
125,3503,fisuracion
126,3509,asentamiento
127,3528,fisuracion
128,3567,demoras
129,3575,resistencia
130,3582,resistencia
131,3609,fisuracion
132,3615,volumen
133,3635,fisuracion
134,3644,asentamiento
135,3656,formula
136,3702,asentamiento
137,3705,demoras
138,3706,fisuracion
139,3717,fisuracion
140,3745,resistencia
141,3761,demoras
142,3762,asentamiento
143,3773,fisuracion
144,3778,fisuracion
145,3803,asentamiento
146,3806,fisuracion
147,3831,demoras
148,3842,demoras
149,3868,volumen
150,3872,fragüe
151,3880,fragüe
152,3890,demoras
153,3900,asentamiento
154,3904,fisuracion
155,3910,volumen
156,3911,asentamiento
157,3945,asentamiento
158,3949,demoras
159,3951,fragüe
160,3958,fisuracion
161,3997,asentamiento
162,4009,asentamiento
163,4030,asentamiento
164,4034,asentamiento
165,4095,fisuracion
166,4104,asentamiento
167,4139,asentamiento
168,4140,asentamiento
169,4149,fragüe
170,4156,volumen
171,4169,fisuracion
172,4212,fisuracion
173,4244,asentamiento
174,4277,demoras
175,4297,fisuracion
176,4326,asentamiento
177,4328,fisuracion
178,4331,fisuracion
179,4354,fisuracion
180,4432,fisuracion
181,4435,volumen
182,4442,fisuracion
183,4460,formula
184,4480,fisuracion
185,4489,demoras
186,4493,asentamiento
187,4510,demoras
188,4558,asentamiento
189,4563,fisuracion
190,4574,fisuracion
191,4589,fisuracion
192,4602,fisuracion
193,4623,asentamiento
194,4629,demoras
195,4637,fisuracion
196,4639,fisuracion
197,4668,fisuracion
198,4677,fragüe
199,4687,asentamiento
200,4696,fisuracion
201,4721,asentamiento
202,4741,asentamiento
203,4748,asentamiento
204,4752,fisuracion
205,4788,fisuracion
206,4790,fisuracion
207,4835,asentamiento
208,4847,fisuracion
209,4887,fisuracion
210,4897,asentamiento
211,4913,asentamiento
212,4949,fisuracion
213,4954,formula
214,4961,demoras
215,4986,asentamiento
216,5033,volumen
217,5042,fisuracion
218,5056,asentamiento
219,5086,asentamiento
220,5096,fisuracion
221,5099,formula
222,5100,fragüe
223,5115,fisuracion
224,5156,resistencia
225,5170,formula
226,5196,fisuracion
227,5204,fisuracion
228,5225,volumen
229,5245,fisuracion
230,5248,demoras
231,5275,fisuracion
232,5285,asentamiento
233,5296,fisuracion
234,5305,asentamiento
235,5331,asentamiento
236,5351,fisuracion
237,5354,formula
238,5363,asentamiento
239,5385,asentamiento
240,5392,resistencia
241,5398,demoras
242,5425,volumen
243,5463,fisuracion
244,5489,asentamiento
245,5501,formula
246,5504,formula
247,5509,demoras
248,5524,fisuracion
249,5544,asentamiento
250,5553,fragüe
251,5568,asentamiento
252,5582,asentamiento
253,5585,volumen
254,5587,resistencia
255,5590,resistencia
256,5601,fisuracion
257,5626,volumen
258,5634,resistencia
259,5666,fragüe
260,5674,fisuracion
261,5678,asentamiento
262,5743,asentamiento
263,5763,asentamiento
264,5811,asentamiento
265,5831,asentamiento
266,5832,volumen
267,5849,formula
268,5863,formula
269,5874,asentamiento
270,5889,fragüe
271,5901,demoras
272,5904,demoras
273,5940,asentamiento
274,5942,fisuracion
275,5949,demoras
276,5957,asentamiento
277,5958,fisuracion
278,6031,demoras
279,6044,volumen
280,6108,fisuracion
281,6109,fisuracion
282,6111,asentamiento
283,6116,resistencia
284,6160,asentamiento
285,6167,fisuracion
286,6191,demoras
287,6219,asentamiento
288,6223,fragüe
289,6230,fisuracion
290,6240,asentamiento
291,6242,fragüe
292,6250,resistencia
293,6252,fisuracion
294,6262,resistencia
295,6287,formula
296,6321,asentamiento
297,6355,fisuracion
298,6370,fisuracion
299,6373,fragüe
300,6382,volumen
301,6401,asentamiento
302,6435,fisuracion
303,6436,asentamiento
304,6458,fragüe
305,6476,asentamiento
306,6495,demoras
307,6500,demoras
308,6537,asentamiento
309,6554,fisuracion
310,6570,fisuracion
311,6585,fisuracion
312,6596,fisuracion
313,6597,volumen
314,6627,demoras
315,6628,asentamiento
316,6634,asentamiento
317,6644,demoras
318,6650,fisuracion
319,6704,asentamiento
320,6740,fisuracion
321,6793,fisuracion
322,6799,demoras
323,6805,volumen
324,6816,fisuracion
325,6829,asentamiento
326,6860,asentamiento
327,6930,asentamiento
328,6939,asentamiento
329,6943,formula
330,6950,demoras
331,6996,asentamiento
332,7002,volumen
333,7013,volumen
334,7026,demoras
335,7027,asentamiento
336,7029,fisuracion
337,7042,asentamiento
338,7090,demoras
339,7137,fragüe
340,7139,fisuracion
341,7147,fisuracion
342,7155,demoras
343,7175,asentamiento
344,7180,volumen
345,7213,asentamiento
346,7215,demoras
347,7231,asentamiento
348,7295,asentamiento
349,7298,fisuracion
350,7319,fisuracion
351,7336,asentamiento
352,7339,formula
353,7375,asentamiento
354,7379,fisuracion
355,7414,demoras
356,7415,fisuracion
357,7436,fisuracion
358,7458,fisuracion
359,7466,fisuracion
360,7485,volumen
361,7509,resistencia
362,7545,fisuracion
363,7559,asentamiento
364,7577,fisuracion
365,7619,asentamiento
366,7626,fisuracion
